,Activity,Start,End,Day,user
0,2,10:00,10:22,1,user_1
1,9,10:37,10:40,1,user_1
2,10,10:40,10:45,1,user_1
3,6,10:55,11:00,1,user_1
4,2,11:00,11:20,1,user_1
5,7,12:00,13:00,1,user_1
6,4,13:30,13:35,1,user_1
7,10,13:35,13:40,1,user_1
8,3,13:40,13:45,1,user_1
9,6,13:55,14:30,1,user_1
10,9,14:25,14:30,1,user_1
11,10,14:25,14:30,1,user_1
12,2,14:30,16:40,1,user_1
13,10,16:40,16:45,1,user_1
14,2,16:45,18:10,1,user_1
15,10,18:10,18:20,1,user_1
16,5,18:20,18:30,1,user_1
17,3,18:45,18:55,1,user_1
18,8,19:00,19:45,1,user_1
19,3,20:00,20:30,1,user_1
20,6,20:30,21:30,1,user_1
21,10,21:45,21:50,1,user_1
22,6,21:50,22:20,1,user_1
23,10,22:20,22:25,1,user_1
24,9,22:50,22:55,1,user_1
25,10,22:55,23:00,1,user_1
26,10,23:30,23:35,1,user_1
27,4,23:45,23:50,1,user_1
28,3,23:50,23:55,1,user_1
29,1,00:25,00:30,2,user_1
30,0,00:30,,2,user_1
31,3,09:20,09:35,2,user_1
32,2,10:00,10:20,1,user_2
33,6,13:05,13:25,1,user_2
34,6,13:38,13:40,1,user_2
35,9,13:38,13:40,1,user_2
36,2,13:55,14:00,1,user_2
37,3,15:00,15:10,1,user_2
38,4,17:28,17:45,1,user_2
39,2,17:55,18:00,1,user_2
40,7,18:00,18:30,1,user_2
41,3,18:30,19:30,1,user_2
42,3,20:06,20:17,1,user_2
43,8,20:30,21:00,1,user_2
44,6,20:30,21:00,1,user_2
45,7,21:00,21:55,1,user_2
46,2,21:56,22:00,1,user_2
47,7,22:00,23:15,1,user_2
48,2,00:00,00:10,2,user_2
49,1,00:45,00:47,2,user_2
50,0,00:47,03:35,2,user_2
51,1,03:35,03:45,2,user_2
52,0,03:45,,2,user_2
53,3,08:55,09:15,2,user_2
54,12,00:00,00:10,2,user_2
55,12,03:35,03:45,2,user_2
56,7,09:50,10:15,1,user_3
57,9,10:00,10:10,1,user_3
58,3,10:30,13:30,1,user_3
59,6,13:30,13:50,1,user_3
60,9,14:10,14:15,1,user_3
61,3,14:30,16:30,1,user_3
62,4,17:00,17:10,1,user_3
63,2,17:10,18:30,1,user_3
64,3,18:30,19:00,1,user_3
65,5,19:15,20:10,1,user_3
66,6,21:45,22:10,1,user_3
67,1,23:15,24:00,1,user_3
68,0,00:00,06:00,2,user_3
69,2,06:00,06:15,2,user_3
70,6,06:15,06:25,2,user_3
71,3,06:30,06:55,2,user_3
72,3,06:59,07:05,2,user_3
73,2,07:28,08:35,2,user_3
74,4,08:40,08:50,2,user_3
75,8,08:50,09:30,2,user_3
76,9,09:30,09:35,2,user_3
77,2,12:00,12:50,1,user_4
78,7,12:00,12:50,1,user_4
79,2,15:50,17:20,1,user_4
80,7,15:50,17:20,1,user_4
81,2,18:50,19:00,1,user_4
82,7,19:25,21:00,1,user_4
83,8,22:00,24:00,1,user_4
84,2,00:30,00:35,2,user_4
85,1,00:35,00:36,2,user_4
86,0,00:36,07:10,2,user_4
87,2,07:10,07:15,2,user_4
88,2,08:40,08:55,2,user_4
89,9,09:45,09:55,1,user_4
90,6,09:45,09:55,1,user_4
91,6,13:30,14:10,1,user_4
92,6,19:10,19:25,1,user_4
93,6,21:00,21:45,1,user_4
94,12,00:30,00:35,2,user_4
95,12,07:10,07:15,2,user_4
96,3,09:50,10:00,1,user_5
97,3,10:20,11:00,1,user_5
98,2,11:00,13:00,1,user_5
99,7,11:00,12:30,1,user_5
100,0,14:15,15:00,1,user_5
101,2,17:45,20:00,1,user_5
102,2,22:00,22:45,1,user_5
103,7,22:00,22:45,1,user_5
104,6,10:00,10:10,1,user_5
105,6,13:15,13:45,1,user_5
106,6,17:30,17:40,1,user_5
107,6,20:30,21:30,1,user_5
108,6,08:00,08:10,2,user_5
109,9,10:00,10:10,1,user_5
110,9,08:00,08:10,2,user_5
111,0,23:56,24:00,1,user_5
112,0,00:01,06:42,2,user_5
113,3,10:39,10:46,1,user_6
114,2,10:46,11:04,1,user_6
115,7,11:10,12:48,1,user_6
116,5,12:48,13:03,1,user_6
117,3,13:03,13:35,1,user_6
118,7,14:29,14:57,1,user_6
119,8,14:57,16:00,1,user_6
120,2,16:34,16:59,1,user_6
121,7,16:59,17:40,1,user_6
122,2,17:46,19:03,1,user_6
123,3,19:03,19:24,1,user_6
124,6,19:39,20:51,1,user_6
125,2,22:33,23:45,1,user_6
126,2,23:48,23:55,1,user_6
127,8,23:55,24:00,1,user_6
128,8,00:01,01:47,2,user_6
129,0,02:10,09:10,2,user_6
130,3,09:10,09:46,2,user_6
131,2,09:46,10:00,2,user_6
132,6,13:43,14:06,1,user_6
133,6,18:29,18:29,1,user_6
134,9,21:13,21:15,1,user_6
135,3,10:00,10:30,1,user_7
136,2,10:30,13:00,1,user_7
137,6,13:00,14:30,1,user_7
138,3,14:30,18:30,1,user_7
139,3,18:30,20:00,1,user_7
140,6,20:00,21:30,1,user_7
141,8,21:30,23:30,1,user_7
142,2,23:30,23:35,1,user_7
143,0,23:35,09:00,1,user_7
144,3,09:00,09:05,2,user_7
145,12,23:30,23:35,1,user_7
146,12,09:00,09:05,2,user_7
147,2,12:10,10:35,1,user_8
148,3,10:50,11:00,1,user_8
149,2,11:00,12:05,1,user_8
150,3,12:05,12:40,1,user_8
151,2,12:45,13:35,1,user_8
152,0,12:45,13:35,1,user_8
153,3,14:00,19:10,1,user_8
154,5,19:30,20:45,1,user_8
155,3,20:55,21:10,1,user_8
156,2,21:20,21:30,1,user_8
157,8,22:30,23:25,1,user_8
158,0,00:00,02:15,2,user_8
159,2,02:15,02:25,2,user_8
160,0,02:25,07:10,2,user_8
161,2,07:25,07:35,2,user_8
162,2,07:55,07:35,2,user_8
163,6,10:35,10:45,1,user_8
164,9,10:35,10:45,1,user_8
165,6,13:45,14:00,1,user_8
166,9,13:45,14:00,1,user_8
167,6,21:30,22:10,1,user_8
168,6,07:35,07:50,2,user_8
169,9,07:35,07:50,2,user_8
170,12,02:15,02:20,2,user_8
171,12,07:25,07:30,2,user_8
172,7,11:00,13:30,1,user_9
173,6,13:30,14:30,1,user_9
174,0,14:30,15:30,1,user_9
175,7,15:30,19:00,1,user_9
176,5,19:00,19:30,1,user_9
177,3,19:30,20:00,1,user_9
178,5,20:00,20:30,1,user_9
179,3,23:30,21:00,1,user_9
180,3,21:00,21:10,1,user_9
181,6,21:10,22:00,1,user_9
182,8,22:00,23:30,1,user_9
183,2,23:30,23:40,1,user_9
184,3,23:40,23:50,1,user_9
185,0,23:50,05:15,2,user_9
186,1,05:15,05:25,2,user_9
187,0,05:25,09:00,2,user_9
188,6,11:10,11:20,1,user_9
189,12,23:30,23:40,1,user_9
190,12,05:15,05:25,2,user_9
191,4,10:00,10:30,1,user_10
192,2,10:30,11:30,1,user_10
193,4,11:30,11:40,1,user_10
194,7,11:40,12:45,1,user_10
195,0,12:45,13:15,1,user_10
196,6,13:20,14:00,1,user_10
197,7,14:10,14:40,1,user_10
198,7,15:00,17:00,1,user_10
199,3,17:00,22:00,1,user_10
200,2,22:10,22:30,1,user_10
201,2,22:50,23:10,1,user_10
202,10,23:07,23:12,1,user_10
203,10,23:30,23:35,1,user_10
204,10,23:55,00:00,1,user_10
205,10,00:28,00:33,2,user_10
206,2,00:40,01:00,2,user_10
207,7,01:30,02:30,2,user_10
208,0,02:30,06:50,2,user_10
209,9,09:50,09:55,1,user_10
210,6,12:00,12:10,1,user_10
211,9,14:45,14:55,1,user_10
212,6,20:00,20:20,1,user_10
213,6,21:30,21:40,1,user_10
214,11,23:17,23:30,1,user_10
215,11,00:05,00:15,2,user_10
216,6,02:00,02:10,2,user_10
217,3,10:20,10:25,1,user_11
218,2,10:25,10:30,1,user_11
219,6,10:30,10:35,1,user_11
220,2,10:45,11:00,1,user_11
221,3,11:00,13:25,1,user_11
222,2,13:35,14:05,1,user_11
223,6,14:10,14:49,1,user_11
224,7,14:49,15:30,1,user_11
225,0,15:30,17:10,1,user_11
226,2,17:10,18:12,1,user_11
227,2,18:15,18:23,1,user_11
228,3,18:38,19:00,1,user_11
229,3,19:15,21:48,1,user_11
230,3,21:49,21:55,1,user_11
231,3,21:55,24:00,1,user_11
232,3,00:01,00:26,2,user_11
233,6,00:26,00:48,2,user_11
234,3,00:48,01:57,2,user_11
235,2,01:57,02:13,2,user_11
236,2,02:13,02:20,2,user_11
237,2,02:31,03:04,2,user_11
238,2,02:50,02:53,2,user_11
239,7,03:08,03:16,2,user_11
240,0,03:16,08:18,2,user_11
241,2,08:19,08:35,2,user_11
242,2,09:03,09:23,2,user_11
243,9,10:30,10:35,1,user_11
244,9,14:56,14:57,1,user_11
245,9,17:26,17:27,1,user_11
246,6,17:10,17:15,1,user_11
247,9,19:33,19:40,1,user_11
248,6,20:52,20:58,1,user_11
249,11,00:26,00:48,2,user_11
250,12,02:50,02:53,2,user_11
251,12,08:19,08:35,2,user_11
252,3,10:00,10:20,1,user_12
253,7,11:05,11:30,1,user_12
254,8,11:30,12:10,1,user_12
255,3,12:10,12:35,1,user_12
256,8,12:35,13:05,1,user_12
257,6,13:05,13:30,1,user_12
258,2,14:05,14:35,1,user_12
259,3,14:35,14:50,1,user_12
260,2,14:50,17:15,1,user_12
261,3,17:15,17:25,1,user_12
262,2,17:45,19:45,1,user_12
263,6,19:45,20:15,1,user_12
264,7,20:15,23:00,1,user_12
265,1,23:00,23:55,1,user_12
266,0,23:55,06:55,1,user_12
267,1,06:55,07:05,2,user_12
268,5,07:25,07:45,2,user_12
269,5,07:50,08:10,2,user_12
270,6,08:15,08:20,2,user_12
271,3,08:25,08:35,2,user_12
272,9,10:20,10:35,1,user_12
273,6,10:20,10:35,1,user_12
274,6,11:00,11:05,1,user_12
275,9,13:35,13:55,1,user_12
276,6,17:30,17:45,1,user_12
277,12,22:55,23:00,1,user_12
278,12,07:20,07:25,2,user_12
279,12,08:10,08:15,2,user_12
280,3,10:00,13:00,1,user_13
281,6,13:00,14:30,1,user_13
282,3,14:30,18:30,1,user_13
283,2,19:00,20:00,1,user_13
284,6,20:00,21:00,1,user_13
285,2,21:30,23:30,1,user_13
286,0,23:30,07:40,1,user_13
287,3,10:16,10:19,1,user_14
288,3,10:47,10:58,1,user_14
289,7,10:16,10:58,1,user_14
290,2,11:10,12:55,1,user_14
291,7,11:15,12:50,1,user_14
292,3,13:00,13:35,1,user_14
293,7,13:55,15:00,1,user_14
294,1,14:47,15:33,1,user_14
295,7,15:45,19:30,1,user_14
296,3,18:16,18:18,1,user_14
297,3,19:31,19:59,1,user_14
298,7,20:00,21:30,1,user_14
299,8,21:40,23:38,1,user_14
300,0,00:00,07:00,2,user_14
301,7,07:20,07:49,2,user_14
302,3,08:06,08:14,2,user_14
303,3,08:37,08:42,2,user_14
304,7,08:07,08:50,2,user_14
305,6,13:37,14:02,1,user_14
306,6,17:47,17:54,1,user_14
307,6,21:40,21:58,1,user_14
308,6,07:33,07:41,2,user_14
309,12,23:40,23:45,1,user_14
310,3,10:00,13:00,1,user_15
311,3,15:00,18:00,1,user_15
312,5,19:00,21:00,1,user_15
313,0,22:30,07:30,1,user_15
314,6,07:30,07:40,1,user_15
315,6,13:30,14:00,1,user_15
316,9,13:30,14:00,1,user_15
317,6,22:00,22:30,1,user_15
318,12,22:00,22:10,1,user_15
319,12,07:35,07:45,2,user_15
320,3,10:05,10:20,1,user_16
321,6,10:20,10:30,1,user_16
322,2,11:10,13:50,1,user_16
323,3,10:50,11:10,1,user_16
324,6,13:50,14:10,1,user_16
325,3,14:30,15:00,1,user_16
326,1,15:00,15:40,1,user_16
327,3,16:00,20:00,1,user_16
328,3,20:00,20:30,1,user_16
329,6,21:00,21:30,1,user_16
330,8,21:30,23:30,1,user_16
331,3,00:20,00:35,2,user_16
332,0,00:40,08:05,2,user_16
333,6,08:25,08:30,2,user_16
334,9,10:20,10:30,1,user_16
335,9,13:50,14:10,1,user_16
336,6,00:00,00:30,2,user_16
337,12,23:30,23:40,1,user_16
338,12,08:15,08:25,2,user_16
339,3,10:15,12:40,1,user_17
340,6,13:20,14:00,1,user_17
341,3,15:00,18:06,1,user_17
342,3,18:06,18:25,1,user_17
343,2,18:34,18:35,1,user_17
344,3,18:53,19:00,1,user_17
345,5,19:30,20:40,1,user_17
346,6,21:00,21:25,1,user_17
347,3,21:30,21:55,1,user_17
348,6,22:25,22:35,1,user_17
349,8,22:25,24:00,1,user_17
350,0,00:18,06:04,2,user_17
351,1,06:04,06:53,2,user_17
352,6,07:10,07:21,2,user_17
353,3,08:00,08:10,2,user_17
354,2,08:15,08:30,2,user_17
355,3,08:35,08:55,2,user_17
356,9,13:20,14:00,1,user_17
357,6,16:10,16:15,1,user_17
358,6,18:06,18:10,1,user_17
359,6,22:25,22:35,1,user_17
360,9,07:10,07:21,2,user_17
361,12,00:05,00:10,2,user_17
362,12,06:55,07:03,2,user_17
386,3,10:00,13:00,1,user_19
387,6,13:00,13:40,1,user_19
388,2,13:40,14:30,1,user_19
389,3,14:30,15:00,1,user_19
390,2,15:00,15:10,1,user_19
391,6,15:40,15:45,1,user_19
392,7,15:45,17:20,1,user_19
393,8,17:25,18:30,1,user_19
394,2,18:30,18:55,1,user_19
395,7,18:55,19:30,1,user_19
396,3,19:30,19:50,1,user_19
397,3,19:55,20:10,1,user_19
398,6,20:45,21:25,1,user_19
399,2,21:30,21:55,1,user_19
400,1,22:00,22:45,1,user_19
401,0,22:45,08:20,1,user_19
402,3,08:50,09:10,2,user_19
403,6,15:40,15:45,1,user_19
404,6,19:35,19:40,1,user_19
405,12,21:55,22:00,1,user_19
406,12,08:35,08:40,2,user_19
407,5,10:30,10:45,1,user_20
408,7,15:00,17:30,1,user_20
409,7,19:00,20:00,1,user_20
410,8,21:30,23:30,1,user_20
411,0,00:45,07:40,2,user_20
412,3,07:45,08:15,2,user_20
413,6,10:00,10:02,1,user_20
414,9,10:15,10:16,1,user_20
415,6,13:30,14:00,1,user_20
416,9,13:30,14:00,1,user_20
417,6,20:30,21:15,1,user_20
418,11,20:30,21:15,1,user_20
419,9,21:43,21:45,1,user_20
420,9,23:30,23:40,1,user_20
421,9,08:20,08:25,2,user_20
422,6,08:20,08:25,2,user_20
423,12,00:40,00:45,2,user_20
424,12,07:40,07:45,2,user_20
425,6,10:20,10:35,1,user_21
426,2,00:35,13:35,1,user_21
427,6,13:50,14:10,1,user_21
428,0,14:35,15:05,1,user_21
429,2,15:20,19:00,1,user_21
430,3,19:00,19:25,1,user_21
431,2,19:35,21:00,1,user_21
432,6,21:00,21:25,1,user_21
433,2,21:25,24:00,1,user_21
434,2,00:01,02:00,2,user_21
435,0,02:00,07:25,2,user_21
436,3,07:50,08:15,2,user_21
437,3,08:25,08:30,2,user_21
438,6,08:30,08:40,2,user_21
439,3,08:40,09:00,2,user_21
440,9,10:20,10:35,1,user_21
441,9,15:15,15:20,1,user_21
442,9,17:20,17:30,1,user_21
443,6,19:30,19:40,1,user_21
444,9,08:30,08:40,2,user_21
445,3,08:50,14:40,1,user_22
446,6,15:30,16:00,1,user_22
447,7,16:00,18:00,1,user_22
448,3,18:00,18:20,1,user_22
449,3,19:50,20:10,1,user_22
450,6,21:00,21:40,1,user_22
451,3,22:30,00:10,1,user_22
452,2,00:20,00:40,2,user_22
453,6,17:00,17:10,1,user_22
454,11,23:20,23:30,1,user_22
455,0,01:06,07:04,2,user_22
